職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點
10/23更新,"行政管理單位 - 專案駐地土木監造工程師/主管-台南(馳諾瓦科技)",待遇面議,馳諾瓦科技股份有限公司,300人,5年以上,不拘,其他電子零組件相關業,台南
10/19更新,保障６萬、完備訓練、高獎金、普專｜住商師大永康加盟店,"月薪60,000元",住商不動產師大永康加盟店_賀誠國際開發有限公司,32人,不拘,Excel、PowerPoint、Word、中文打字20~50,不動產經營業,雙北
10/11更新,"Java 工程師","月薪35,000~65,000元",主向位科技股份有限公司,100人,不拘,"Java、MS SQL、Excel、Outlook、Word",通訊機械器材相關業,雙北
10/12更新,"Java 後端工程師",待遇面議,必礦科技股份有限公司,150人,不拘,Java,工商顧問服務業,雙北
10/19更新,"Java SW Engineer",待遇面議,德義資訊股份有限公司,250人,不拘,Java、Spring、Struts,電腦軟體服務業,雙北
10/05更新,"Associate Java Software Engineer",待遇面議,美商太陽鳥軟體股份有限公司台灣分公司,暫不提供,不拘,Java,電子通訊/電腦週邊批發業,雙北
08/23更新,Java工程師,"月薪50,000元以上",環球數位金融科技有限公司,50人,不拘,C++、Java、Spring、JavaScript,網際網路相關業,雙北
10/02更新,JAVA軟體工程師,"月薪35,000~50,000元",松凌科技股份有限公司,60人,不拘,Java、JSP、Struts、HTML、J2EE、JavaScript,電腦軟體服務業,雙北
10/02更新,"Java Backend Developer",待遇面議,瑞典商幸生軟體股份有限公司台灣分公司,暫不提供,3年以上,Java、Spring、J2EE,網際網路相關業,雙北
10/11更新,"Java 工程師","年薪900,000~1,600,000元",澄映科技有限公司,15人,3年以上,Java、Python、Spring、MySQL,電腦軟體服務業,雙北
10/25更新,Java軟體工程師,待遇面議,裕隆集團_裕隆日產汽車股份有限公司,400人,不拘,Java、Spring、Oracle、PL/SQL,汽車及其零件製造業,苗栗
09/04更新,"Java 工程師","月薪35,000~100,000元",言某諮詢管理顧問有限公司,100人,5年以上,"Java、Spring、MS SQL、MySQL、Oracle、JavaScript",網際網路相關業,雙北
10/18更新,"Java 軟體工程師","月薪30,000~70,000元",長佑科技股份有限公司,19人,1年以上,Java,電腦軟體服務業,雙北
10/05更新,"(IBM Consulting) Application Developer-Java & Web Technologies",待遇面議,IBM_台灣國際商業機器股份有限公司,暫不提供,3年以上,Java、Spring、HTML、JavaScript、CSS,電腦系統整合服務業,高雄
10/20更新,"Backend Engineer (Java)","月薪80,000~120,000元",敏行科技有限公司,7人,2年以上,Linux、Git、Java、JDBC、MySQL、PostgreSQL、HTTP,電腦軟體服務業,雙北
10/02更新,"Senior Java Backend Developer",待遇面議,瑞典商幸生軟體股份有限公司台灣分公司,暫不提供,5年以上,Java、Spring、J2EE,網際網路相關業,雙北
