職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點,工作待遇範圍,企業規模
10/23,行政管理單位 - 專案駐地土木監造工程師/主管-台南(馳諾瓦科技),40000,馳諾瓦科技股份有限公司,300,5年以上,不拘,其他電子零組件相關業,台南,"(30000, 40000]",大型企業
10/19,保障６萬、完備訓練、高獎金、普專｜住商師大永康加盟店,60000,住商不動產師大永康加盟店_賀誠國際開發有限公司,32,不拘,Excel、PowerPoint、Word、中文打字20~50,不動產經營業,雙北,"(50000, 60000]",小型企業
10/11,Java 工程師,35000,主向位科技股份有限公司,100,不拘,Java、MS SQL、Excel、Outlook、Word,通訊機械器材相關業,雙北,"(30000, 40000]",中型企業
10/12,Java 後端工程師,40000,必礦科技股份有限公司,150,不拘,Java,工商顧問服務業,雙北,"(30000, 40000]",中型企業
10/19,Java SW Engineer,40000,德義資訊股份有限公司,250,不拘,Java、Spring、Struts,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
08/23,Java工程師,50000,環球數位金融科技有限公司,50,不拘,C++、Java、Spring、JavaScript,網際網路相關業,雙北,"(40000, 50000]",小型企業
10/02,JAVA軟體工程師,35000,松凌科技股份有限公司,60,不拘,Java、JSP、Struts、HTML、J2EE、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/11,Java 工程師,75000,澄映科技有限公司,15,3年以上,Java、Python、Spring、MySQL,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
10/25,Java軟體工程師,40000,裕隆集團_裕隆日產汽車股份有限公司,400,不拘,Java、Spring、Oracle、PL/SQL,汽車及其零件製造業,苗栗,"(30000, 40000]",大型企業
09/04,Java 工程師,35000,言某諮詢管理顧問有限公司,100,5年以上,Java、Spring、MS SQL、MySQL、Oracle、JavaScript,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/18,Java 軟體工程師,30000,長佑科技股份有限公司,19,1年以上,Java,電腦軟體服務業,雙北,"(0, 30000]",小型企業
10/20,Backend Engineer (Java),80000,敏行科技有限公司,7,2年以上,Linux、Git、Java、JDBC、MySQL、PostgreSQL、HTTP,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
10/01,Java工程師-金融,40000,伊普資訊股份有限公司,10,3年以上,Git、AJAX、Java、Spring、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/16,java Web工程師,60000,雅典娜廣告有限公司,10,2年以上,Java、JSP、MySQL、Oracle、HTML,廣告行銷公關業,台中,"(50000, 60000]",小型企業
10/16,Java 工程師,38000,承暉資訊整合股份有限公司,28,1年以上,Git、Java、Spring、MS SQL、MySQL、Oracle、Tomcat、WebLogic,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/18,勞工安全衛生管理人員,33000,易大科技股份有限公司,30,1年以上,Adobe Acrobat、Excel、Internet Explorer、PowerPoint、Word,其它軟體及網路相關業,彰化,"(30000, 40000]",小型企業
10/20,Java程式設計師,40000,時現資訊服務股份有限公司,30,2年以上,Java、JavaScript、jQuery,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/24,JR101618 Java程式培訓設計師(營運系統),40000,中國人壽保險股份有限公司(總公司),13539,1年以上,Java,人身保險業,雙北,"(30000, 40000]",大型企業
10/24,Java工程師,75000,恒達科有限公司,350,2年以上,Java、Spring、MySQL,電腦軟體服務業,雙北,"(70000, 80000]",大型企業
